name	type	time
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.791920
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.792597
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.572132
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.597850
ary 300000	greedy	1.325434
ary 300000	pbqp	1.491466
ackermann 12	greedy	4.180729
ackermann 12	pbqp	4.248961
chameneos 200000	greedy	4.944552
chameneos 200000	pbqp	4.928370
echo 200000	greedy	5.378016
echo 200000	pbqp	5.424545
fannkuch 11	greedy	1.174805
fannkuch 11	pbqp	1.178808
except 2000000	greedy	3.645554
except 2000000	pbqp	3.731557
fibo 44	greedy	4.962496
fibo 44	pbqp	4.680795
harmonic 1500000000	greedy	6.121940
harmonic 1500000000	pbqp	6.147116
hash2 3000	greedy	3.557558
hash2 3000	pbqp	3.701242
heapsort 50000000	greedy	22.527298
heapsort 50000000	pbqp	22.784935
raytracer 500	greedy	9.712669
raytracer 500	pbqp	10.347548
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.803518
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.925480
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.607772
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.699245
ary 300000	greedy	1.358332
ary 300000	pbqp	1.493274
ackermann 12	greedy	4.480336
ackermann 12	pbqp	4.335757
chameneos 200000	greedy	5.032225
chameneos 200000	pbqp	5.016954
echo 200000	greedy	5.337095
echo 200000	pbqp	5.291680
fannkuch 11	greedy	1.143424
fannkuch 11	pbqp	1.136682
except 2000000	greedy	3.634426
except 2000000	pbqp	3.669251
fibo 44	greedy	4.978827
fibo 44	pbqp	4.652570
harmonic 1500000000	greedy	6.058712
harmonic 1500000000	pbqp	6.033500
hash2 3000	greedy	3.545422
hash2 3000	pbqp	3.638447
heapsort 50000000	greedy	22.301512
heapsort 50000000	pbqp	22.229791
raytracer 500	greedy	9.605507
raytracer 500	pbqp	10.355289
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.731990
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.813097
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.523554
