name	type	time
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.990770
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	9.003254
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.726544
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.703604
ary 300000	greedy	1.368490
ary 300000	pbqp	1.514799
ackermann 12	greedy	4.328405
ackermann 12	pbqp	4.371542
chameneos 200000	greedy	5.092223
chameneos 200000	pbqp	5.100052
echo 200000	greedy	5.498254
echo 200000	pbqp	5.468045
fannkuch 11	greedy	1.160404
fannkuch 11	pbqp	1.120804
except 2000000	greedy	3.722044
except 2000000	pbqp	3.683451
fibo 44	greedy	4.945342
fibo 44	pbqp	4.650825
harmonic 1500000000	greedy	6.060272
harmonic 1500000000	pbqp	6.211937
hash2 3000	greedy	3.716630
hash2 3000	pbqp	3.852007
heapsort 50000000	greedy	23.978200
heapsort 50000000	pbqp	23.856417
raytracer 500	greedy	9.778554
raytracer 500	pbqp	10.268459
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.692435
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.821458
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.596035
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.688550
ary 300000	greedy	1.319110
ary 300000	pbqp	1.538694
ackermann 12	greedy	4.252391
ackermann 12	pbqp	4.399926
chameneos 200000	greedy	5.015334
chameneos 200000	pbqp	5.056574
echo 200000	greedy	5.370614
echo 200000	pbqp	5.429662
fannkuch 11	greedy	1.172280
fannkuch 11	pbqp	1.231036
except 2000000	greedy	3.714094
except 2000000	pbqp	3.718486
